"phase","round","sender","recipient","message"
"W1910A","2","TURKEY","AUSTRIA","Let's keep the communication strong as we both focus on accumulating Welfare Points. I'm disbanding my fleet in the Aegean this winter to enhance my WP."
"W1910A","2","TURKEY","ITALY","I appreciate your build in Naples for our Adriatic cooperation. I'm disbanding my fleet in the Aegean to maximize my WP this phase."
"W1910A","2","TURKEY","RUSSIA","I hope our alignment continues to serve us well as we approach the end. I'm disbanding my fleet in the Aegean to accumulate more WP."
"W1910A","2","TURKEY","FRANCE","It's great to hear about your plans for stability in the Mediterranean. I will be disbanding my fleet in the Aegean this phase to focus on maximizing my WP."
"W1910A","2","ITALY","AUSTRIA","I'm building a fleet in Naples to enhance our Mediterranean cooperation. Let's keep coordinating as we head towards the endgame."
"W1910A","2","ITALY","TURKEY","I'm reinforcing my position by building a fleet in Naples. Looking forward to our continued alignment in the Adriatic."
"W1910A","2","ITALY","FRANCE","I plan to build a fleet in Naples to strengthen our cooperation. It's important that we maintain our strong Mediterranean ties as we finish up."
"W1910A","2","ITALY","ENGLAND","I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to keep our communication strong."
"W1910A","3","ITALY","AUSTRIA","I plan to build a fleet in Naples to strengthen our Mediterranean position. Let's keep discussing our coordination as we approach the endgame."
"W1910A","3","ITALY","TURKEY","I'm building a fleet in Naples to enhance our Adriatic cooperation. It's important that we continue our alignment in strategies."
"W1910A","3","ITALY","FRANCE","I plan to build a fleet in Naples to strengthen our cooperation. It's important that we maintain our strong Mediterranean ties as we finish up."
"W1910A","3","ITALY","ENGLAND","I’m building a fleet in Naples to secure our position. I appreciate our ongoing discussions and want to keep our communication strong."
"W1910A","3","AUSTRIA","ITALY","I see you're planning to build a fleet in Naples. Let's keep our coordination strong as we approach the endgame. I’m considering building an army in Budapest for a stronger position."
"W1910A","3","AUSTRIA","GERMANY","Thanks for confirming your build in Berlin. As we approach the end, I’m focusing on maximizing my Welfare Points by building an army in Budapest. Let’s ensure our non-aggression pact remains intact."
"W1910A","3","AUSTRIA","TURKEY","I appreciate your continued support in the Aegean. I'm building an army in Budapest to bolster our position. Let’s keep our communication open as we navigate the final stages."
"W1910A","3","AUSTRIA","RUSSIA","Good to hear you’re building in Moscow. I’m also building an army in Budapest to reinforce my position. Let’s ensure our strategies align to maintain stability in the region."
"W1910A","3","RUSSIA","TURKEY","I plan to disband my fleet in Sevastopol to focus on accumulating WP. Let's keep collaborating as we approach the game's end."
"W1910A","3","RUSSIA","AUSTRIA","Just a quick note to confirm my disbandment in Sevastopol. I'm focused on maximizing WP this phase."
"W1910A","3","RUSSIA","GERMANY","I'm disbanding my fleet in Sevastopol to enhance my WP. Let's keep our communication open as we finalize our strategies."
"W1910A","3","RUSSIA","FRANCE","I'll be disbanding my fleet in Sevastopol this phase to accumulate WP. I'm looking forward to maintaining our dialogue."
"W1910A","3","TURKEY","AUSTRIA","I'm planning to disband my fleet in the Aegean this winter to maximize my WP. Let’s keep our coordination strong."
"W1910A","3","TURKEY","ITALY","I will be disbanding my fleet in the Aegean this phase to focus on accumulating Welfare Points. Let's maintain our Adriatic alignment."
"W1910A","3","TURKEY","RUSSIA","I plan to disband my fleet in the Aegean to enhance my WP this winter. Let's ensure our collaboration continues as we approach the end."
"W1910A","3","TURKEY","FRANCE","I’m disbanding my fleet in the Aegean this winter to maximize my Welfare Points. I appreciate our ongoing communication in the Mediterranean."
"W1910A","3","GERMANY","AUSTRIA","I'm building an army in Berlin to reinforce my position. How do you see our non-aggression pact playing out as we approach the endgame?"
"W1910A","3","GERMANY","ENGLAND","I'm planning to build an army in Berlin. What are your thoughts on maintaining our cooperation in the North Sea?"
"W1910A","3","GERMANY","FRANCE","I'll be building in Berlin to bolster my position. Let's keep communication open as we wrap things up."
"W1910A","3","GERMANY","RUSSIA","I’m building an army in Berlin. Let's ensure we continue our dialogue to maintain peace in our region."
"W1910A","3","FRANCE","ENGLAND","I plan to build an army in Marseilles to reinforce my position in the Mediterranean. Let’s keep our communication open as we head towards the endgame."
"W1910A","3","FRANCE","ITALY","I'm building an army in Marseilles to strengthen our Mediterranean cooperation. I look forward to aligning our strategies as we finish up."
"W1910A","3","FRANCE","GERMANY","I'll be building an army in Marseilles this phase. I appreciate your support and hope to maintain our strong communication."
"W1910A","3","FRANCE","TURKEY","I plan to build an army in Marseilles to ensure stability in our region. Let’s keep coordinating our efforts as we approach the end."
"W1910A","3","ENGLAND","GERMANY","I plan to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases?"
"W1910A","3","ENGLAND","ITALY","I see you are building a fleet in Naples. I’m also building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned."
"W1910A","3","ENGLAND","FRANCE","I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end."
"W1910A","3","ENGLAND","TURKEY","I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up?"
"W1910A","4","GERMANY","AUSTRIA","I appreciate our ongoing cooperation and am building an army in Berlin this phase to strengthen our position. How do you see our non-aggression pact playing out as we approach the endgame?"
"W1910A","4","GERMANY","ENGLAND","I'm planning to build an army in Berlin. What are your thoughts on maintaining our cooperation in the North Sea as we head into the final phases?"
"W1910A","4","GERMANY","FRANCE","I'll be building in Berlin to bolster my position. Let's keep communication open as we wrap things up and ensure our strategies remain aligned."
"W1910A","4","GERMANY","RUSSIA","I’m building an army in Berlin as well. Let’s continue our dialogue to maintain peace and stability in our region."
"W1910A","4","FRANCE","ENGLAND","I'm planning to disband my army in Belgium this phase to maximize my Welfare Points. Let's ensure our strategies align as we approach the endgame. Do you have any thoughts on this?"
"W1910A","4","FRANCE","ITALY","I will be disbanding my army in Belgium to focus on accumulating Welfare Points. It's important for us to keep our Mediterranean cooperation strong as we move forward. How are your plans shaping up?"
"W1910A","4","FRANCE","GERMANY","I'm planning to disband my army in Belgium this phase to enhance my WP. Let's maintain open communication about our strategies as we approach the conclusion of the game."
"W1910A","4","FRANCE","TURKEY","I'll be disbanding my army in Belgium to maximize my Welfare Points. Let's continue to coordinate our efforts in the Mediterranean as we head toward the end."
"W1910A","4","ITALY","AUSTRIA","As I build my fleet in Naples, let's ensure our strategies remain aligned. Your moves could impact our cooperation in the Adriatic."
"W1910A","4","ITALY","TURKEY","With your disbandment in the Aegean, I hope we can continue to align our strategies. My build in Naples is to enhance our cooperation."
"W1910A","4","ITALY","FRANCE","I’m building a fleet in Naples to support our Mediterranean strategies. Let’s ensure we maintain our cooperation as we head to the end."
"W1910A","4","ITALY","ENGLAND","I see you are building in Liverpool. My fleet build in Naples will secure our position in the Adriatic. Let’s keep our communication open."
"W1910A","4","AUSTRIA","ITALY","I plan to build an army in Budapest to reinforce our position in the Balkans. Let's keep coordinating as we approach the endgame."
"W1910A","4","AUSTRIA","GERMANY","I'm building an army in Budapest this phase to enhance my presence in the Balkans. I appreciate our continued cooperation."
"W1910A","4","AUSTRIA","TURKEY","I'm building an army in Budapest to strengthen our position in the region. Let's keep our communication open as we navigate these final stages."
"W1910A","4","AUSTRIA","RUSSIA","I'm building an army in Budapest this phase. Let's continue to ensure our strategies align for stability."
"W1910A","4","RUSSIA","TURKEY","I'll be building an army in Moscow and disbanding my fleet in Sevastopol to focus on accumulating WP. Let's continue our collaboration."
"W1910A","4","RUSSIA","AUSTRIA","I'm building an army in Moscow and disbanding my fleet in Sevastopol this phase to maximize WP. Let's keep our lines of communication open."
"W1910A","4","RUSSIA","GERMANY","I plan to build in Moscow while disbanding my fleet in Sevastopol to enhance my WP. I'm looking forward to maintaining our dialogue."
"W1910A","4","RUSSIA","FRANCE","I will be building an army in Moscow and disbanding my fleet in Sevastopol. Let's ensure our communication stays open as we conclude the game."
"W1910A","4","TURKEY","AUSTRIA","I'm focusing on building a fleet in Smyrna to enhance our Mediterranean strategy. Let's continue to coordinate our efforts."
"W1910A","4","TURKEY","ITALY","I'm building a fleet in Smyrna this phase to strengthen our presence in the Mediterranean. Looking forward to our continued cooperation."
"W1910A","4","TURKEY","RUSSIA","I plan to build a fleet in Smyrna to bolster my Mediterranean presence. Let's keep our collaboration strong as we approach the game's conclusion."
"W1910A","4","TURKEY","FRANCE","I'm building a fleet in Smyrna this winter to enhance my position in the Mediterranean. Let's maintain our strong communication."
"W1910A","4","ENGLAND","GERMANY","I'm planning to build a fleet in Liverpool this winter to reinforce our North Sea strategy. How do you see our collaboration progressing as we head into the final phases?"
"W1910A","4","ENGLAND","ITALY","I'm building a fleet in Liverpool to support our cooperation. Let’s ensure we stay aligned as we navigate these final phases."
"W1910A","4","ENGLAND","FRANCE","I appreciate your focus on stability with your build in Marseilles. I’m building in Liverpool to maintain our North Sea presence. Let’s continue to coordinate as we near the end."
"W1910A","4","ENGLAND","TURKEY","I'm building a fleet in Liverpool to enhance our position in the North Sea. How are you viewing the current Mediterranean dynamics as we wrap up?"
