,phase,power,round,model,reasoning,orders,invalid_orders,messages,system_prompt,user_prompt
2,F1904M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ENG C A WAL - BEL', 'F NTH S A WAL - BEL']",[],[],,
3,F1904M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A RUH - HOL'],[],[],,
4,F1904M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A STP - MOS']",[],[],,
5,F1904M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - MOS', 'F BLA - RUM', 'A SEV S A UKR - MOS']",[],[],,
6,F1904M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
0,W1904A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1904A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1904A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1904A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1904A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1904A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1904A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1905M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A HOL - RUH'],[],[],,
1,S1905M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A BEL - PIC', 'A SPA - GAS']",[],[],,
2,S1905M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F NTH - NWY'],[],[],,
3,S1905M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A VIE - TYR', 'A GRE - BUL', 'F TUN - ION']",[],[],,
4,S1905M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A STP - MOS']",[],[],,
5,S1905M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR S A SEV - MOS', 'F RUM - BLA', 'A SEV - MOS']",[],[],,
6,S1905M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,F1905M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR - MOS', 'A STP - NWY']",[],[],,
1,F1905M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BER - SIL'],[],[],,
2,F1905M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ENG C A WAL - BEL', 'F NWY - STP/NC']",[],[],,
3,F1905M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,F1905M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR S A SEV - MOS', 'A SEV - MOS']",[],[],,
5,F1905M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A PIC - BEL'],[],[],,
6,F1905M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ION - AEG'],[],[],,
0,W1905A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1905A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1905A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A DEN D', 'F BAL D']",[],[],,
3,W1905A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1905A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1905A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1905A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1906M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A GAS - BUR', 'A BEL - HOL']",[],[],,
1,S1906M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ENG - NTH', 'A WAL - YOR', 'F NWY S F ENG - NTH']",[],[],,
2,S1906M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A STP - MOS']",[],[],,
3,S1906M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,S1906M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - WAR', 'A MOS S A UKR - WAR']",[],[],,
5,S1906M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,S1906M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ION - AEG'],[],[],,
0,F1906M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
1,F1906M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - WAR', 'A MOS S A UKR - WAR', 'F BLA - RUM']",[],[],,
2,F1906M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,F1906M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,F1906M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F ION - TYS', 'A BUL - RUM']",[],[],,
5,F1906M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A BUR - BEL', 'F MAO S F NTH - ENG', 'A HOL S A BUR - BEL']",[],[],,
6,F1906M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A STP - MOS']",[],[],,
0,W1906A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1906A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1906A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1906A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1906A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1906A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1906A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1907M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR - MOS', 'A STP S A WAR - MOS']",[],[],,
1,S1907M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,S1907M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,S1907M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A UKR - WAR', 'A MOS S A UKR - WAR']",[],[],,
4,S1907M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BUL - RUM'],[],[],,
5,S1907M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
6,S1907M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F MAO - ENG', 'A BEL - BUR']",[],[],,
0,S1907R,RUSSIA,1,NoPressAgent(key=35),Orders from no-press baseline policy.,['A WAR R GAL'],[],[],,
0,F1907M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,F1907M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,F1907M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS S A WAR', 'F BLA - SEV']",[],[],,
3,F1907M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,F1907M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A STP - MOS'],[],[],,
5,F1907M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
6,F1907M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,W1907A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1907A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1907A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1907A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1907A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A GAL D'],[],[],,
5,W1907A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1907A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1908M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A RUM - SER'],[],[],,
1,S1908M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,S1908M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,S1908M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A SIL - WAR', 'A PRU S A SIL - WAR', 'A STP - MOS']",[],[],,
4,S1908M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS S A WAR', 'F SEV - BLA']",[],[],,
5,S1908M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
6,S1908M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1908R,TURKEY,1,NoPressAgent(key=35),Orders from no-press baseline policy.,['A WAR R GAL'],[],[],,
0,F1908M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
1,F1908M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A PRU S A WAR', 'A STP - MOS']",[],[],,
2,F1908M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ENG - BEL'],[],[],,
3,F1908M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,F1908M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,F1908M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A SER - BUL'],[],[],,
6,F1908M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A GAL - WAR', 'A MOS S A GAL - WAR']",[],[],,
0,W1908A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1908A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1908A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1908A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1908A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1908A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1908A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1909M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,S1909M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A BUL - RUM'],[],[],,
2,S1909M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A MOS - SEV'],[],[],,
3,S1909M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F BEL - ENG'],[],[],,
4,S1909M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR S A STP - MOS', 'A STP - MOS']",[],[],,
5,S1909M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F NTH C A YOR - DEN', 'F NWY - STP/NC']",[],[],,
6,S1909M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,F1909M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,F1909M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,F1909M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA - BUL/EC', 'A SEV - RUM']",[],[],,
3,F1909M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A RUM - BUL'],[],[],,
4,F1909M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F NTH C A YOR - NWY'],[],[],,
5,F1909M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ENG - BEL'],[],[],,
6,F1909M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,W1909A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1909A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1909A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1909A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1909A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1909A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,W1909A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
0,S1910M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,S1910M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A MOS - STP', 'A WAR - SIL']",[],[],,
2,S1910M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F BEL - ENG'],[],[],,
3,S1910M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,S1910M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F NTH C A YOR - NWY'],[],[],,
5,S1910M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,S1910M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A SEV - RUM'],[],[],,
0,F1910M,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F NTH C A YOR - DEN'],[],[],,
1,F1910M,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['F ENG - BEL'],[],[],,
2,F1910M,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['F BLA S A SEV - RUM', 'A SEV - RUM']",[],[],,
3,F1910M,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A MOS - SEV'],[],[],,
4,F1910M,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,F1910M,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
6,F1910M,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,['A RUM - BUL'],[],[],,
0,W1910A,ENGLAND,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
1,W1910A,FRANCE,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
2,W1910A,AUSTRIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
3,W1910A,GERMANY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
4,W1910A,ITALY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
5,W1910A,RUSSIA,3,NoPressAgent(key=35),Orders from no-press baseline policy.,"['A WAR B', 'A MOS B']",[],[],,
6,W1910A,TURKEY,3,NoPressAgent(key=35),Orders from no-press baseline policy.,[],[],[],,
