,phase,round,sender,recipient,message
71,S1901M,3,ITALY,TURKEY,"Hey Turkey, I’m moving my units to secure the Adriatic and will support our borders. Let’s keep communicating about our plans!"
72,S1901M,3,ITALY,FRANCE,"Hi France, I’m consolidating my position in the Mediterranean. Let’s discuss how we can collaborate in the region."
73,S1901M,3,ITALY,AUSTRIA,"Hello Austria, I’m moving into Trieste. I hope we can find a way to work together as we develop our strategies."
74,S1901M,3,AUSTRIA,TURKEY,"Hey Turkey, I'm confirming my support for your move to Rumania with my army in Budapest. Let's work together closely!"
75,S1901M,3,AUSTRIA,ITALY,"Hi Italy, I see you're moving into Trieste. I hope we can coordinate our efforts to avoid any conflicts there."
76,S1901M,3,AUSTRIA,RUSSIA,"Hello Russia, I'm glad to hear you're interested in cooperation. Let's keep the lines of communication open as we both navigate our strategies."
77,S1901M,3,AUSTRIA,GLOBAL,Looking forward to a productive game with everyone! Let's keep collaborating for our mutual benefit.
78,S1901M,4,RUSSIA,TURKEY,"Hi Turkey, I see you're moving into Romania. I support your move and hope we can maintain friendly borders afterwards. Let's keep the communication flowing!"
79,S1901M,4,RUSSIA,AUSTRIA,"Hi Austria, I appreciate your willingness to cooperate. Let's keep our lines open as we navigate these early moves together."
80,S1901M,4,RUSSIA,ENGLAND,"Hi England, I'm still considering options for collaboration in the North. If you have any plans, I’d love to hear them!"
81,S1901M,4,RUSSIA,GLOBAL,Looking forward to a productive game with everyone! Let’s all keep communication open as we navigate our strategies.
82,S1901M,4,FRANCE,GERMANY,"Hey Germany, I see you're moving to Belgium. Let's keep communication open about our positions as we move forward. I want to ensure our borders are secure."
83,S1901M,4,FRANCE,ENGLAND,"Hi England, I’ll be supporting you in the Channel. Let’s ensure we maintain a strong presence there."
84,S1901M,4,FRANCE,ITALY,"Hey Italy, just wanted to confirm that I’m focused on the Channel this turn but open to future collaboration in the Mediterranean."
85,S1901M,4,FRANCE,TURKEY,"Hi Turkey, I’m keen to hear more about your plans. Let’s keep each other informed as we navigate these early turns."
86,S1901M,4,GERMANY,FRANCE,"Hey France, I'm moving into Belgium this turn. I hope we can discuss how we can cooperate further and ensure our borders remain secure."
87,S1901M,4,GERMANY,ENGLAND,Hello England! I’m moving to Belgium this turn. Let's keep an open dialogue to ensure we coordinate effectively as the game progresses.
88,S1901M,4,GERMANY,TURKEY,Hi Turkey! I’m keen to hear more about your plans for the early game. Any thoughts on potential alliances or areas of cooperation?
89,S1901M,4,GERMANY,AUSTRIA,Hello Austria! I'm interested in discussing potential collaborations as we navigate the early game. What are your thoughts on your initial moves?
90,S1901M,4,ITALY,TURKEY,"Hey Turkey, I'm moving my fleet into the Ionian Sea to secure my position. Let’s keep in touch about our plans in the Balkans!"
91,S1901M,4,ITALY,FRANCE,"Hi France, I'm moving into the Ionian. I'm eager to collaborate in the Mediterranean. Let's discuss potential moves soon!"
92,S1901M,4,ITALY,AUSTRIA,"Hello Austria, I'm moving my army from Venice to Trieste. I hope we can coordinate our efforts and avoid any conflicts."
93,S1901M,4,ITALY,GLOBAL,Looking forward to a cooperative game with everyone! Let's keep communicating as we navigate these early moves.
94,S1901M,4,ENGLAND,FRANCE,Thanks for the support in the Channel! I'm moving my fleet to the North Sea and holding my fleet in the Channel. Let's keep the communication flowing.
95,S1901M,4,ENGLAND,GERMANY,Hey Germany! I'm moving my army to Wales. I appreciate your plans for Belgium; let’s keep coordinating to avoid conflicts.
96,S1901M,4,ENGLAND,RUSSIA,Hi Russia! I'm looking forward to potential collaboration in the north. Let’s see how things develop after this turn.
97,S1901M,4,ENGLAND,TURKEY,Hi Turkey! I'm keen to hear how you're planning to move in this early game. Let’s keep discussing our strategies.
98,S1901M,4,AUSTRIA,TURKEY,"Thanks for your cooperation, Turkey! I'm supporting your move to Rumania with my army from Budapest. Let's ensure we both secure our positions."
99,S1901M,4,AUSTRIA,ITALY,"Hi Italy, I see you're moving into Trieste. I hope we can coordinate our efforts and avoid any conflict there."
100,S1901M,4,AUSTRIA,RUSSIA,"Hello Russia, I'm looking forward to working together. Let's keep communication open and discuss any potential collaborations."
101,S1901M,4,AUSTRIA,GERMANY,"Hi Germany, I appreciate your interest in collaboration. I'm currently focused on establishing my position, but I am open to discussing future strategies."
102,S1901M,4,TURKEY,AUSTRIA,Thanks for your support! I'm moving my army to Rumania now. Let's coordinate further to secure our positions in the Balkans.
103,S1901M,4,TURKEY,RUSSIA,Just confirming my move to Rumania with Austria's support. I'm looking to maintain our friendly borders after this move.
104,S1901M,4,TURKEY,ITALY,I'm focusing on securing Rumania with Austria's help. Let's keep discussing our plans to ensure we both benefit from our positions.
105,S1901M,4,TURKEY,GERMANY,Thanks for your interest! I'm currently focusing on securing Rumania with Austria's assistance. Let's keep communication open.
0,F1901M,1,FRANCE,GERMANY,"Hey Germany, I hope we can keep communication open. I'm moving A BUR to Belgium, and I would like to discuss how we can both benefit from it. Are you interested in coordinating our movements?"
1,F1901M,1,FRANCE,ENGLAND,"Hello England, I'm considering my moves for this phase. Just a heads up that I'm looking to take Belgium with A BUR. How do you feel about our arrangements?"
2,F1901M,1,FRANCE,ITALY,"Hi Italy, I wanted to touch base about our plans in the Mediterranean. Any thoughts on how we can work together as we move forward?"
3,F1901M,1,FRANCE,TURKEY,"Hi Turkey, I hope all is well. I'm just checking in to see if you have any plans for this phase. Let me know if you'd like to discuss!"
4,F1901M,1,RUSSIA,TURKEY,"Hey Turkey, I see you're moving to Rumania. Just wanted to confirm my support for that. Let's keep our borders friendly!"
5,F1901M,1,RUSSIA,AUSTRIA,"Austria, I hope we can maintain a good understanding. I supported your move to Rumania, and I'd like to discuss our northern strategies together."
6,F1901M,1,RUSSIA,ENGLAND,"England, let's coordinate in the north. I believe we can create a solid partnership here. How do you feel about our current positions?"
7,F1901M,1,RUSSIA,GLOBAL,I'm open to discussions with everyone on potential alliances or partnerships moving forward. I think there's great opportunity for collaboration.
8,F1901M,1,TURKEY,AUSTRIA,Thanks for your support in Rumania! Let's keep communication open. How do you see our future cooperation?
9,F1901M,1,TURKEY,RUSSIA,Appreciate the support in Rumania! Looking forward to a strong partnership. How do you feel about our borders going forward?
10,F1901M,1,TURKEY,FRANCE,Hello France! I'm open to discussing our future relations. What are your plans for this phase?
11,F1901M,1,TURKEY,ITALY,Hey Italy! I noticed your movements. Just checking in to see how you view the situation in the Balkans.
12,F1901M,1,GERMANY,FRANCE,"Hey France, I'm glad to hear about your move to Belgium. Can we discuss how we can coordinate our efforts? I want to ensure our moves are mutually beneficial."
13,F1901M,1,GERMANY,ENGLAND,Hello England! Just checking in to see how we can work together moving forward. I see opportunities for us to secure our positions.
14,F1901M,1,GERMANY,TURKEY,"Hi Turkey, I noticed you're focused on Romania. Are you planning on collaborating with Austria? I'm curious about your long-term strategies."
15,F1901M,1,GERMANY,AUSTRIA,"Hello Austria, I see you're positioning in Romania. I would love to hear your thoughts on the current landscape and any potential collaborations."
16,F1901M,1,ITALY,FRANCE,"Hey France, I'm excited about the possibilities in the Mediterranean. Let's discuss how we can coordinate our movements. Maybe we can aim for a joint effort towards securing key positions?"
17,F1901M,1,ITALY,TURKEY,Hi Turkey! I'm glad we're aligned in the Balkans. I'm considering holding my units for now but am open to discussing our future plans. How do you see the situation developing?
18,F1901M,1,ITALY,AUSTRIA,"Hey Austria, just checking in. I want to ensure our movements remain coordinated. Are you planning any significant moves this turn?"
19,F1901M,1,ITALY,RUSSIA,"Hi Russia, I'm interested in hearing your thoughts on potential alliances. What areas do you see as critical for collaboration?"
20,F1901M,1,ENGLAND,FRANCE,"Hey France, I'm seeing your move to Belgium and I hope we can still support each other. Let me know if there's any conflict regarding the Channel."
21,F1901M,1,ENGLAND,RUSSIA,"Hi Russia, I like the idea of collaboration in the north. Let's coordinate our next moves to maximize our positions!"
22,F1901M,1,ENGLAND,GERMANY,Hello Germany! I'm interested in ensuring we both benefit from our current positions. Let's keep the communication open as we proceed.
23,F1901M,1,ENGLAND,TURKEY,"Hi Turkey, just reaching out to keep communication lines open. How do you see your strategy unfolding in the coming turns?"
24,F1901M,1,AUSTRIA,TURKEY,Thanks for the support in Rumania! I believe we can build a strong partnership moving forward. How do you see our cooperation developing?
25,F1901M,1,AUSTRIA,RUSSIA,I appreciate your support and agree that we should keep our lines of communication open. What are your thoughts on potential moves next turn?
26,F1901M,1,AUSTRIA,ITALY,"I'm planning to hold my units this turn. Let's make sure our movements are aligned for the future, especially regarding the Adriatic."
27,F1901M,1,AUSTRIA,GERMANY,I hope we can find common ground in our strategies. How do you see our situation developing in the coming turns?
28,F1901M,2,ITALY,FRANCE,"Hi France, I'm planning to move my army from Rome to Apulia this turn. Let's continue to coordinate our efforts in the Mediterranean. Any thoughts on your next moves?"
29,F1901M,2,ITALY,TURKEY,"Hey Turkey! Just a heads up, I'm moving my army to Apulia. I'm keen to avoid conflict in the Balkans and support our cooperation. How do you see the situation developing?"
30,F1901M,2,ITALY,AUSTRIA,"Hi Austria, I'm holding my units this turn. Let's stay aligned as we navigate our next moves, especially regarding the Adriatic."
31,F1901M,2,ITALY,RUSSIA,"Hi Russia, I appreciate your openness for discussions. I'd love to hear your thoughts on how we might collaborate as we move forward."
32,F1901M,2,ENGLAND,FRANCE,"Hey France, I'm hoping we can both move without conflict in the Channel. Let me know if you foresee any issues as you take Belgium!"
33,F1901M,2,ENGLAND,RUSSIA,I appreciate your initiative in the north. Would you be open to a supportive move if I take Norway?
34,F1901M,2,ENGLAND,GERMANY,Let's keep our lines open as the game develops. What are your thoughts on our respective moves?
35,F1901M,2,ENGLAND,TURKEY,Still interested in how you plan to move forward. Any potential plans you want to share?
36,F1901M,2,TURKEY,AUSTRIA,Great to have your support in Rumania! How do you plan to move forward? I'm interested in ensuring our cooperation remains strong.
37,F1901M,2,TURKEY,RUSSIA,Thanks for your support in Rumania! Let's keep our borders secure. What are your thoughts on potential moves next turn?
38,F1901M,2,TURKEY,ITALY,I appreciate your focus on peace in the Balkans. Are there any specific plans you're considering that might affect our cooperation?
39,F1901M,2,TURKEY,FRANCE,Thanks for reaching out! I'm looking to maintain a peaceful stance in the Balkans and would love to hear your plans for the future.
40,F1901M,2,GERMANY,FRANCE,"Hey France, I'm considering moving A MUN to BUR to help coordinate with you. What are your thoughts on this move?"
41,F1901M,2,GERMANY,ENGLAND,Hello England! Just checking if you're still interested in collaborating as we proceed. How do you see your next moves shaping up?
42,F1901M,2,GERMANY,TURKEY,"Hi Turkey, I appreciate your communication. If you have any updates on your plans, please share. I'm curious about how we might align our strategies."
43,F1901M,2,GERMANY,AUSTRIA,"Hello Austria, I'd like to keep communication open as we navigate the board. How do you see our moves developing in the next phase?"
44,F1901M,2,FRANCE,GERMANY,I'm moving A BUR to BEL as discussed. Let's keep coordinating to make sure our plans align well!
45,F1901M,2,FRANCE,ENGLAND,Just a heads up that I'm taking Belgium with A BUR. I hope this doesn't affect our plans in the Channel!
46,F1901M,2,FRANCE,ITALY,"I hope you're good! I'm taking a more defensive stance this phase, but let's keep working on our Mediterranean strategy."
47,F1901M,2,FRANCE,TURKEY,Thanks for your openness. I'm focusing on securing Belgium this phase; let’s keep in touch about future moves.
48,F1901M,2,AUSTRIA,TURKEY,I appreciate our collaboration! How do you see our next moves developing? Any thoughts on consolidating our positions?
49,F1901M,2,AUSTRIA,ITALY,It's good to see you holding your units! Let's make sure we're both well-positioned in the Adriatic. What are your thoughts on potential moves next turn?
50,F1901M,2,AUSTRIA,RUSSIA,Thanks for the support! I believe it would be beneficial for us to strategize further together. Any particular areas you want to focus on?
51,F1901M,2,AUSTRIA,GERMANY,I think there's potential for us to work together. Let's keep communication open as the board evolves. How do you see your next moves shaping up?
52,F1901M,2,RUSSIA,TURKEY,Glad to confirm our support in Rumania! Let's discuss our borders and any potential moves we want to coordinate next turn.
53,F1901M,2,RUSSIA,AUSTRIA,I appreciate your willingness to strategize together. How do you view the situation in the north? Are you considering any moves next turn?
54,F1901M,2,RUSSIA,ENGLAND,I'm supportive of your move to Norway. Let’s coordinate our efforts in the north to ensure we maximize our positions.
55,F1901M,2,RUSSIA,ITALY,I’m open to discussing potential collaborations. What specific areas or goals do you have in mind for us to work on together?
56,F1901M,3,AUSTRIA,TURKEY,"I'm glad we are aligned, Turkey! Let's keep communication strong. Do you have any specific plans for your next moves?"
57,F1901M,3,AUSTRIA,ITALY,"Great to see we're on the same page, Italy! How do you see the Adriatic situation evolving? I'm keen to hear your thoughts."
58,F1901M,3,AUSTRIA,RUSSIA,"Thanks for your support, Russia! I think it's crucial we discuss our northern strategies further. Any particular moves you're considering?"
59,F1901M,3,AUSTRIA,GERMANY,"I'm open to further discussions, Germany. How do you feel about the current situation? What are your plans for your next moves?"
60,F1901M,3,ENGLAND,FRANCE,"Hey France, just confirming that I'm holding F LON in the Channel while you take Belgium. Let's keep the lines clear between us!"
61,F1901M,3,ENGLAND,RUSSIA,"Hi Russia, I'm planning to move F NWG to Norway this turn. I believe this will strengthen our position in the north. Looking forward to our collaboration!"
62,F1901M,3,ENGLAND,GERMANY,"Hello Germany, I hope we can keep a friendly arrangement as we proceed. I'm holding my positions for now, but let's stay in touch about our next moves."
63,F1901M,3,ENGLAND,TURKEY,"Hi Turkey, just checking in! Any thoughts on the situation so far? I'm curious about your strategy moving forward."
64,F1901M,3,FRANCE,GERMANY,"Hey Germany, I've successfully moved into Belgium. I'm keen to keep our collaboration going. What are your thoughts on our next steps?"
65,F1901M,3,FRANCE,ENGLAND,Thanks for holding in the Channel! I'm looking to solidify my position in Belgium. Let's keep in touch about our future moves.
66,F1901M,3,FRANCE,ITALY,"I'm glad to hear you're keen on cooperation in the Mediterranean. Once I finalize my current moves, I'd love to discuss our plans further."
67,F1901M,3,FRANCE,TURKEY,I appreciate your willingness to maintain peace in the Balkans. Let's keep the lines open to discuss any future plans.
68,F1901M,3,ITALY,FRANCE,"Hey France, I'm moving my army to Apulia this turn. Let's keep discussing our Mediterranean strategy as we progress."
69,F1901M,3,ITALY,TURKEY,"Hi Turkey! Just to confirm, I’m moving my army to Apulia this turn. I’m keen to maintain our cooperation in the Balkans."
70,F1901M,3,ITALY,AUSTRIA,"Hey Austria, I’ll be moving my army to Apulia this turn. Just ensuring we're aligned in our movements. How do you see things evolving in the Adriatic?"
71,F1901M,3,ITALY,RUSSIA,"Hi Russia, I'm currently focusing on the Mediterranean and Balkans. Let's keep in touch about potential alliances as the situation develops."
72,F1901M,3,TURKEY,AUSTRIA,Hi Austria! Looking forward to confirming my hold in Rumania this phase. Let’s keep coordinating our moves!
73,F1901M,3,TURKEY,RUSSIA,Thanks again for your support in Rumania! I'm planning to hold my positions this phase. Let’s keep discussing our strategies.
74,F1901M,3,TURKEY,FRANCE,Hey France! Just holding my positions for now. What are your next moves? Let’s keep the lines open.
75,F1901M,3,TURKEY,ITALY,Hi Italy! I appreciate your focus on peace. I’ll be holding in my current positions this phase. Let’s stay in touch about the Balkans.
76,F1901M,3,RUSSIA,TURKEY,"Thanks for your support, Turkey! Let's continue to strengthen our partnership and keep our borders secure. Are you considering any movements next turn?"
77,F1901M,3,RUSSIA,AUSTRIA,I believe we should continue our discussions. I will be moving to secure positions in the north this turn. What are your plans?
78,F1901M,3,RUSSIA,ENGLAND,I’m planning to support your move to Norway this turn. Let’s make sure our strategies align.
79,F1901M,3,RUSSIA,GLOBAL,I'm open to continuing discussions about alliances and strategies with everyone as we move forward. Let's work together to shape the board.
80,F1901M,3,GERMANY,FRANCE,"Hey France, great to see you in Belgium! I’m moving A MUN to BUR to further align our strategies. Let’s keep coordinating our moves closely."
81,F1901M,3,GERMANY,ENGLAND,"Hello England, I’m hoping to maintain our friendly ties. I’ll be moving towards Belgium while keeping an eye on future collaborations."
82,F1901M,3,GERMANY,AUSTRIA,"Hi Austria, I hope we can keep an open dialogue. I’m moving my units to strengthen my position in light of our earlier discussions."
83,F1901M,3,GERMANY,TURKEY,"Hi Turkey, I’m curious about how your plans are developing. Let’s keep communication open as we navigate this phase."
84,F1901M,4,FRANCE,GERMANY,"Hey Germany, I've moved A BUR to BEL successfully. I hope we can continue coordinating our movements. What's your next move?"
85,F1901M,4,FRANCE,ENGLAND,"Thanks for holding in the Channel, England! I'm now solidifying my position in Belgium with A BUR. Let's keep in touch about our future plans."
86,F1901M,4,FRANCE,ITALY,"Hey Italy, I'm focusing on strengthening my position in Belgium this phase. Let's keep our collaboration in the Mediterranean active!"
87,F1901M,4,FRANCE,TURKEY,"Hi Turkey, I'm establishing my position in Belgium now. I appreciate your willingness to maintain peace, and I'm open to discussing future cooperation!"
88,F1901M,4,GERMANY,FRANCE,"Hey France, I'm moving A MUN to BUR as we discussed. Looking forward to working together!"
89,F1901M,4,GERMANY,ENGLAND,"Hi England, I hope we can keep our collaboration strong as we move forward. Let’s stay in touch!"
90,F1901M,4,GERMANY,AUSTRIA,"Hello Austria, I’m eager to hear your thoughts on the current situation as I finalize my moves."
91,F1901M,4,GERMANY,TURKEY,"Hi Turkey, how are your plans shaping up? I’d love to stay updated on your strategies."
92,F1901M,4,TURKEY,AUSTRIA,Thanks again for your support! I’ll be holding my positions this phase. Looking forward to our continued cooperation.
93,F1901M,4,TURKEY,RUSSIA,Appreciate your support in Rumania! I’ll be holding my positions this phase. Let’s keep discussing our strategies.
94,F1901M,4,TURKEY,FRANCE,I’m holding my units this phase. Let’s keep communication open about future moves!
95,F1901M,4,TURKEY,ITALY,Holding my positions this phase. Let’s stay in touch about the Balkans!
96,F1901M,4,ITALY,FRANCE,"Hey France, I'm moving my army to Apulia this turn. Let's keep our Mediterranean strategy aligned. Any updates from your end?"
97,F1901M,4,ITALY,TURKEY,"Hi Turkey! Just a confirmation, I’m moving to Apulia this turn. Let's stay coordinated as we move forward in the Balkans."
98,F1901M,4,ITALY,AUSTRIA,"Hey Austria, I'm moving my army to Apulia this turn. Let’s keep our communication open as we navigate the Adriatic."
99,F1901M,4,ITALY,RUSSIA,"Hi Russia, I'm focusing on the Mediterranean. Let’s discuss potential areas for collaboration in the future!"
100,F1901M,4,RUSSIA,TURKEY,I'm moving F SEV to Rumania this turn. Let's keep our cooperation strong!
